blockKey,total,went,rate,smoothedRate,meetsMinSample
"Behind 15+ | H2 Mid | YTG 41-50 | Dist 1",218,207,0.9495,0.8603,true
"Behind 6-8 | H1 Mid | YTG 41-50 | Dist 3-5",218,29,0.1330,0.1426,true
"Ahead 15+ | H2 Early | YTG 41-50 | Dist 6-8",218,12,0.0550,0.0740,true
"Behind 9-14 | H2 Early | YTG 61-70 | Dist 6-8",218,17,0.0780,0.0942,true
"Ahead 15+ | H2 Mid | YTG 11-20 | Dist 1",218,145,0.6651,0.6103,true
"Ahead 15+ | H2 Early | YTG 21-30 | Dist 6-8",217,26,0.1198,0.1310,true
"Ahead 6-8 | H1 Early | YTG 1-10 | Dist 1",214,205,0.9579,0.8662,true
"Behind 15+ | H2 Mid | YTG 11-20 | Dist 6-8",214,133,0.6215,0.5711,true
"Behind 9-14 | H2 Mid | YTG 61-70 | Dist 3-5",214,91,0.4252,0.3990,true
"Behind 15+ | H2 Early | YTG 81-90 | Dist 11-14",213,7,0.0329,0.0550,true
"Behind 9-14 | H1 Mid | YTG 81-90 | Dist 15-20",212,2,0.0094,0.0345,true
"Behind 15+ | H2 Mid | YTG 61-70 | Dist 2",212,74,0.3491,0.3320,true
"Behind 15+ | H2 Mid | YTG 21-30 | Dist 9-10",211,106,0.5024,0.4662,true
"Ahead 15+ | H2 Mid | YTG 51-60 | Dist 11-14",210,2,0.0095,0.0348,true
"Behind 9-14 | H2 Early | YTG 71-80 | Dist 9-10",209,5,0.0239,0.0475,true
"Tied | H1 Mid | YTG 41-50 | Dist 3-5",209,28,0.1340,0.1437,true
"Behind 15+ | H1 Final 4 | YTG 61-70 | Dist 3-5",208,10,0.0481,0.0687,true
"Ahead 15+ | H2 Mid | YTG 41-50 | Dist 9-10",207,12,0.0580,0.0774,true
"Tied | H1 Mid | YTG 31-40 | Dist 3-5",206,93,0.4515,0.4210,true
"Behind 15+ | H2 Final 4 | YTG 61-70 | Dist 3-5",206,102,0.4951,0.4591,true
"Behind 9-14 | H1 Mid | YTG 41-50 | Dist 6-8",206,17,0.0825,0.0990,true
"Ahead 9-14 | H2 Early | YTG 51-60 | Dist 3-5",206,8,0.0388,0.0608,true
"Ahead 15+ | H2 Early | YTG 11-20 | Dist 6-8",205,9,0.0439,0.0653,true
"Behind 9-14 | H1 Mid | YTG 71-80 | Dist 3-5",205,8,0.0390,0.0611,true
"Behind 6-8 | H1 Mid | YTG 71-80 | Dist 9-10",204,3,0.0147,0.0400,true
"Ahead 6-8 | H1 Mid | YTG 51-60 | Dist 3-5",204,12,0.0588,0.0784,true
"Behind 15+ | H2 Early | YTG 41-50 | Dist 9-10",204,36,0.1765,0.1810,true
"Behind 6-8 | H1 Early | YTG 21-30 | Dist 6-8",203,24,0.1182,0.1303,true
"Tied | H1 Mid | YTG 71-80 | Dist 3-5",203,5,0.0246,0.0487,true
"Ahead 15+ | H2 Mid | YTG 11-20 | Dist 11-14",202,16,0.0792,0.0963,true
"Tied | H1 Early | YTG 11-20 | Dist 3-5",202,44,0.2178,0.2170,true
"Ahead 15+ | H2 Early | YTG 31-40 | Dist 6-8",202,55,0.2723,0.2645,true
"Behind 15+ | H2 Early | YTG 61-70 | Dist 2",202,49,0.2426,0.2386,true
"Behind 3-5 | H1 Mid | YTG 61-70 | Dist 6-8",201,7,0.0348,0.0578,true
"Behind 6-8 | H1 Mid | YTG 31-40 | Dist 3-5",201,95,0.4726,0.4388,true
"Ahead 9-14 | H1 Mid | YTG 11-20 | Dist 6-8",201,1,0.0050,0.0318,true
"Ahead 15+ | H2 Mid | YTG 21-30 | Dist 1",201,170,0.8458,0.7634,true
"Behind 3-5 | H2 Early | YTG 61-70 | Dist 3-5",201,15,0.0746,0.0924,true
"Ahead 6-8 | H1 Mid | YTG 61-70 | Dist 3-5",200,19,0.0950,0.1102,true
"Behind 9-14 | H2 Mid | YTG 71-80 | Dist 6-8",200,43,0.2150,0.2146,true
"Behind 9-14 | H1 Mid | YTG 31-40 | Dist 3-5",199,110,0.5528,0.5081,true
"Ahead 15+ | H2 Mid | YTG 31-40 | Dist 1",198,172,0.8687,0.7823,true
"Behind 15+ | H1 Mid | YTG 61-70 | Dist 6-8",198,11,0.0556,0.0761,true
"Ahead 15+ | H2 Mid | YTG 41-50 | Dist 11-14",198,7,0.0354,0.0586,true
"Behind 15+ | H2 Mid | YTG 21-30 | Dist 11-14",197,72,0.3655,0.3452,true
"Behind 9-14 | H1 Mid | YTG 61-70 | Dist 1",197,85,0.4315,0.4024,true
"Behind 15+ | H2 Mid | YTG 51-60 | Dist 15-20",195,30,0.1538,0.1616,true
"Behind 15+ | H2 Mid | YTG 41-50 | Dist 15-20",194,45,0.2320,0.2293,true
"Behind 15+ | H2 Mid | YTG 11-20 | Dist 11-14",194,80,0.4124,0.3855,true
"Ahead 9-14 | H1 Mid | YTG 51-60 | Dist 3-5",194,16,0.0825,0.0998,true
"Ahead 3-5 | H1 Mid | YTG 71-80 | Dist 6-8",194,7,0.0361,0.0596,true
"Tied | H1 Mid | YTG 21-30 | Dist 3-5",193,63,0.3264,0.3110,true
"Ahead 15+ | H2 Mid | YTG 41-50 | Dist 1",193,124,0.6425,0.5845,true
"Behind 6-8 | H1 Early | YTG 51-60 | Dist 1",193,105,0.5440,0.4993,true
"Tied | H1 Early | YTG 31-40 | Dist 15-20",192,10,0.0521,0.0737,true
"Ahead 3-5 | H1 Mid | YTG 61-70 | Dist 3-5",192,16,0.0833,0.1007,true
"Behind 6-8 | H1 Mid | YTG 71-80 | Dist 3-5",192,12,0.0625,0.0827,true
"Ahead 6-8 | H1 Mid | YTG 71-80 | Dist 6-8",191,6,0.0314,0.0559,true
"Behind 6-8 | H1 Early | YTG 51-60 | Dist 9-10",191,4,0.0209,0.0468,true
"Behind 6-8 | H1 Early | YTG 61-70 | Dist 2",190,13,0.0684,0.0880,true
"Behind 15+ | H2 Mid | YTG 31-40 | Dist 1",190,172,0.9053,0.8107,true
"Behind 15+ | H1 Mid | YTG 51-60 | Dist 3-5",189,26,0.1376,0.1477,true
"Ahead 15+ | H2 Mid | YTG 51-60 | Dist 9-10",189,3,0.0159,0.0427,true
"Tied | H1 Mid | YTG 31-40 | Dist 6-8",188,41,0.2181,0.2172,true
"Behind 15+ | H1 Final 4 | YTG 71-80 | Dist 6-8",188,3,0.0160,0.0429,true
"Behind 15+ | H1 Mid | YTG 51-60 | Dist 6-8",187,11,0.0588,0.0800,true
"Ahead 6-8 | H1 Mid | YTG 41-50 | Dist 3-5",187,28,0.1497,0.1583,true
"Behind 15+ | H1 Mid | YTG 81-90 | Dist 15-20",187,4,0.0214,0.0477,true
"Behind 3-5 | H1 Early | YTG 61-70 | Dist 3-5",187,7,0.0374,0.0615,true
"Behind 15+ | H2 Mid | YTG 1-10 | Dist 6-8",186,126,0.6774,0.6127,true
"Behind 9-14 | H2 Mid | YTG 71-80 | Dist 9-10",186,24,0.1290,0.1405,true
"Behind 15+ | H2 Early | YTG 41-50 | Dist 11-14",185,14,0.0757,0.0947,true
"Tied | H1 Early | YTG 11-20 | Dist 6-8",185,11,0.0595,0.0807,true
"Behind 9-14 | H2 Early | YTG 41-50 | Dist 6-8",185,28,0.1514,0.1598,true
"Behind 6-8 | H2 Early | YTG 61-70 | Dist 3-5",184,17,0.0924,0.1091,true
"Behind 3-5 | H1 Mid | YTG 1-10 | Dist 3-5",184,10,0.0543,0.0764,true
"Ahead 15+ | H2 Early | YTG 71-80 | Dist 3-5",184,2,0.0109,0.0390,true
"Ahead 9-14 | H2 Early | YTG 51-60 | Dist 6-8",184,6,0.0326,0.0577,true
"Behind 9-14 | H2 Mid | YTG 31-40 | Dist 3-5",184,137,0.7446,0.6699,true
"Behind 15+ | H2 Mid | YTG 11-20 | Dist 9-10",184,86,0.4674,0.4316,true
"Ahead 6-8 | H1 Mid | YTG 31-40 | Dist 3-5",183,96,0.5246,0.4805,true
"Behind 15+ | H2 Mid | YTG 1-10 | Dist 1",183,175,0.9563,0.8514,true
"Behind 6-8 | H2 Early | YTG 71-80 | Dist 6-8",182,9,0.0495,0.0724,true
"Behind 9-14 | H2 Early | YTG 71-80 | Dist 3-5",182,13,0.0714,0.0913,true
"Behind 15+ | H1 Mid | YTG 71-80 | Dist 3-5",182,8,0.0440,0.0677,true
"Behind 9-14 | H2 Early | YTG 41-50 | Dist 3-5",182,59,0.3242,0.3083,true
"Tied | H1 Early | YTG 21-30 | Dist 2",181,115,0.6354,0.5751,true
"Behind 6-8 | H1 Early | YTG 81-90 | Dist 11-14",181,3,0.0166,0.0443,true
"Ahead 9-14 | H2 Mid | YTG 61-70 | Dist 3-5",181,6,0.0331,0.0585,true
"Ahead 15+ | H2 Mid | YTG 51-60 | Dist 1",180,60,0.3333,0.3160,true
"Behind 15+ | H2 Mid | YTG 81-90 | Dist 6-8",180,25,0.1389,0.1493,true
"Ahead 9-14 | H2 Early | YTG 41-50 | Dist 3-5",180,23,0.1278,0.1398,true
"Ahead 15+ | H1 Mid | YTG 1-10 | Dist 3-5",180,27,0.1500,0.1588,true
"Behind 9-14 | H1 Mid | YTG 61-70 | Dist 11-14",179,3,0.0168,0.0448,true
"Behind 6-8 | H1 Early | YTG 51-60 | Dist 11-14",177,3,0.0169,0.0452,true
"Behind 3-5 | H2 Early | YTG 71-80 | Dist 6-8",177,5,0.0282,0.0548,true
"Behind 3-5 | H1 Mid | YTG 41-50 | Dist 6-8",177,12,0.0678,0.0887,true
"Ahead 6-8 | H1 Mid | YTG 41-50 | Dist 6-8",177,18,0.1017,0.1176,true
"Behind 15+ | H2 Mid | YTG 31-40 | Dist 11-14",176,114,0.6477,0.5842,true
"Behind 6-8 | H1 Mid | YTG 71-80 | Dist 11-14",176,0,0.0000,0.0308,true
"Behind 6-8 | H1 Early | YTG 71-80 | Dist 15-20",176,3,0.0170,0.0454,true
"Ahead 9-14 | H1 Mid | YTG 1-10 | Dist 1",176,142,0.8068,0.7202,true
"Behind 15+ | H2 Mid | YTG 71-80 | Dist 1",176,93,0.5284,0.4823,true
